Material,Material ID,Date,Sold to ID,Sold to,Ship to ID,Ship to,Plant,Volume
Premium Resin A,MAT-1001,2026-08,CUST-073,Nordic Materials AB,SHIP-073-DK,Nordic Materials AB - Aarhus Hub,PLANT-06,25.667
Industrial Additive B,MAT-2004,2026-09,CUST-073,Nordic Materials AB,SHIP-073-DK,Nordic Materials AB - Aarhus Hub,PLANT-06,25.667
Specialty Compound C,MAT-3098,2026-10,CUST-073,Nordic Materials AB,SHIP-073-DK,Nordic Materials AB - Aarhus Hub,PLANT-06,25.667
Packaging Film D,MAT-4120,2026-11,CUST-073,Nordic Materials AB,SHIP-073-DK,Nordic Materials AB - Aarhus Hub,PLANT-06,25.667
Base Polymer E,MAT-5185,2026-12,CUST-073,Nordic Materials AB,SHIP-073-DK,Nordic Materials AB - Aarhus Hub,PLANT-06,25.667
Premium Resin A,MAT-1001,2026-01,CUST-001,Northstar Manufacturing BV,SHIP-001-NL,Northstar Manufacturing BV - Rotterdam Plant,PLANT-01,25.667
Industrial Additive B,MAT-2004,2026-02,CUST-001,Northstar Manufacturing BV,SHIP-001-NL,Northstar Manufacturing BV - Rotterdam Plant,PLANT-01,25.667
Specialty Compound C,MAT-3098,2026-03,CUST-001,Northstar Manufacturing BV,SHIP-001-NL,Northstar Manufacturing BV - Rotterdam Plant,PLANT-01,25.667
Packaging Film D,MAT-4120,2026-04,CUST-001,Northstar Manufacturing BV,SHIP-001-NL,Northstar Manufacturing BV - Rotterdam Plant,PLANT-01,25.667
Base Polymer E,MAT-5185,2026-05,CUST-001,Northstar Manufacturing BV,SHIP-001-NL,Northstar Manufacturing BV - Rotterdam Plant,PLANT-01,25.667
Premium Resin A,MAT-1001,2026-06,CUST-014,HelioPack GmbH,SHIP-014-DE,HelioPack GmbH - Hamburg Site,PLANT-02,25.667
Industrial Additive B,MAT-2004,2026-07,CUST-014,HelioPack GmbH,SHIP-014-DE,HelioPack GmbH - Hamburg Site,PLANT-02,25.667
Specialty Compound C,MAT-3098,2026-08,CUST-014,HelioPack GmbH,SHIP-014-DE,HelioPack GmbH - Hamburg Site,PLANT-02,25.667
Packaging Film D,MAT-4120,2026-09,CUST-014,HelioPack GmbH,SHIP-014-DE,HelioPack GmbH - Hamburg Site,PLANT-02,25.667
Base Polymer E,MAT-5185,2026-10,CUST-014,HelioPack GmbH,SHIP-014-DE,HelioPack GmbH - Hamburg Site,PLANT-02,25.667
Premium Resin A,MAT-1001,2026-11,CUST-027,Atlas Components SA,SHIP-027-FR,Atlas Components SA - Lyon Warehouse,PLANT-03,25.667
Industrial Additive B,MAT-2004,2026-12,CUST-027,Atlas Components SA,SHIP-027-FR,Atlas Components SA - Lyon Warehouse,PLANT-03,25.667
Specialty Compound C,MAT-3098,2026-01,CUST-027,Atlas Components SA,SHIP-027-FR,Atlas Components SA - Lyon Warehouse,PLANT-03,25.667
Packaging Film D,MAT-4120,2026-02,CUST-027,Atlas Components SA,SHIP-027-FR,Atlas Components SA - Lyon Warehouse,PLANT-03,25.667
Base Polymer E,MAT-5185,2026-03,CUST-027,Atlas Components SA,SHIP-027-FR,Atlas Components SA - Lyon Warehouse,PLANT-03,25.667
Premium Resin A,MAT-1001,2026-04,CUST-038,Baltic Industrial Group,SHIP-038-LT,Baltic Industrial Group - Kaunas Plant,PLANT-04,25.667
Industrial Additive B,MAT-2004,2026-05,CUST-038,Baltic Industrial Group,SHIP-038-LT,Baltic Industrial Group - Kaunas Plant,PLANT-04,25.667
Specialty Compound C,MAT-3098,2026-06,CUST-038,Baltic Industrial Group,SHIP-038-LT,Baltic Industrial Group - Kaunas Plant,PLANT-04,25.667
Packaging Film D,MAT-4120,2026-07,CUST-038,Baltic Industrial Group,SHIP-038-LT,Baltic Industrial Group - Kaunas Plant,PLANT-04,25.667
Base Polymer E,MAT-5185,2026-08,CUST-038,Baltic Industrial Group,SHIP-038-LT,Baltic Industrial Group - Kaunas Plant,PLANT-04,25.667
Premium Resin A,MAT-1001,2026-09,CUST-052,Iberia Consumer Goods SL,SHIP-052-ES,Iberia Consumer Goods SL - Valencia Site,PLANT-05,25.667
Industrial Additive B,MAT-2004,2026-10,CUST-052,Iberia Consumer Goods SL,SHIP-052-ES,Iberia Consumer Goods SL - Valencia Site,PLANT-05,25.667
Specialty Compound C,MAT-3098,2026-11,CUST-052,Iberia Consumer Goods SL,SHIP-052-ES,Iberia Consumer Goods SL - Valencia Site,PLANT-05,25.667
Packaging Film D,MAT-4120,2026-12,CUST-052,Iberia Consumer Goods SL,SHIP-052-ES,Iberia Consumer Goods SL - Valencia Site,PLANT-05,25.667
Base Polymer E,MAT-5185,2026-01,CUST-052,Iberia Consumer Goods SL,SHIP-052-ES,Iberia Consumer Goods SL - Valencia Site,PLANT-05,25.667
Premium Resin A,MAT-1001,2026-02,CUST-073,Nordic Materials AB,SHIP-073-SE,Nordic Materials AB - Malmo Plant,PLANT-06,25.667
Industrial Additive B,MAT-2004,2026-03,CUST-073,Nordic Materials AB,SHIP-073-SE,Nordic Materials AB - Malmo Plant,PLANT-06,25.667
Specialty Compound C,MAT-3098,2026-04,CUST-073,Nordic Materials AB,SHIP-073-SE,Nordic Materials AB - Malmo Plant,PLANT-06,25.667
Packaging Film D,MAT-4120,2026-05,CUST-073,Nordic Materials AB,SHIP-073-SE,Nordic Materials AB - Malmo Plant,PLANT-06,25.667
Base Polymer E,MAT-5185,2026-06,CUST-073,Nordic Materials AB,SHIP-073-SE,Nordic Materials AB - Malmo Plant,PLANT-06,25.667
Premium Resin A,MAT-1001,2026-07,CUST-001,Northstar Manufacturing BV,SHIP-001-BE,Northstar Manufacturing BV - Antwerp DC,PLANT-01,25.667
Industrial Additive B,MAT-2004,2026-08,CUST-001,Northstar Manufacturing BV,SHIP-001-BE,Northstar Manufacturing BV - Antwerp DC,PLANT-01,25.667
Specialty Compound C,MAT-3098,2026-09,CUST-001,Northstar Manufacturing BV,SHIP-001-BE,Northstar Manufacturing BV - Antwerp DC,PLANT-01,25.667
Packaging Film D,MAT-4120,2026-10,CUST-001,Northstar Manufacturing BV,SHIP-001-BE,Northstar Manufacturing BV - Antwerp DC,PLANT-01,25.667
Base Polymer E,MAT-5185,2026-11,CUST-001,Northstar Manufacturing BV,SHIP-001-BE,Northstar Manufacturing BV - Antwerp DC,PLANT-01,25.667
Premium Resin A,MAT-1001,2026-12,CUST-014,HelioPack GmbH,SHIP-014-PL,HelioPack GmbH - Poznan Warehouse,PLANT-02,25.667
Industrial Additive B,MAT-2004,2026-01,CUST-014,HelioPack GmbH,SHIP-014-PL,HelioPack GmbH - Poznan Warehouse,PLANT-02,25.667
Specialty Compound C,MAT-3098,2026-02,CUST-014,HelioPack GmbH,SHIP-014-PL,HelioPack GmbH - Poznan Warehouse,PLANT-02,25.667
Packaging Film D,MAT-4120,2026-03,CUST-014,HelioPack GmbH,SHIP-014-PL,HelioPack GmbH - Poznan Warehouse,PLANT-02,25.667
Base Polymer E,MAT-5185,2026-04,CUST-014,HelioPack GmbH,SHIP-014-PL,HelioPack GmbH - Poznan Warehouse,PLANT-02,25.667
Premium Resin A,MAT-1001,2026-05,CUST-027,Atlas Components SA,SHIP-027-BE,Atlas Components SA - Antwerp DC,PLANT-03,25.667
Industrial Additive B,MAT-2004,2026-06,CUST-027,Atlas Components SA,SHIP-027-BE,Atlas Components SA - Antwerp DC,PLANT-03,25.667
Specialty Compound C,MAT-3098,2026-07,CUST-027,Atlas Components SA,SHIP-027-BE,Atlas Components SA - Antwerp DC,PLANT-03,25.667
Packaging Film D,MAT-4120,2026-08,CUST-027,Atlas Components SA,SHIP-027-BE,Atlas Components SA - Antwerp DC,PLANT-03,25.667
Base Polymer E,MAT-5185,2026-09,CUST-027,Atlas Components SA,SHIP-027-BE,Atlas Components SA - Antwerp DC,PLANT-03,25.667
Premium Resin A,MAT-1001,2026-10,CUST-038,Baltic Industrial Group,SHIP-038-EE,Baltic Industrial Group - Tallinn Hub,PLANT-04,25.667
Industrial Additive B,MAT-2004,2026-11,CUST-038,Baltic Industrial Group,SHIP-038-EE,Baltic Industrial Group - Tallinn Hub,PLANT-04,25.667
Specialty Compound C,MAT-3098,2026-12,CUST-038,Baltic Industrial Group,SHIP-038-EE,Baltic Industrial Group - Tallinn Hub,PLANT-04,25.667
Packaging Film D,MAT-4120,2026-01,CUST-038,Baltic Industrial Group,SHIP-038-EE,Baltic Industrial Group - Tallinn Hub,PLANT-04,25.667
Base Polymer E,MAT-5185,2026-02,CUST-038,Baltic Industrial Group,SHIP-038-EE,Baltic Industrial Group - Tallinn Hub,PLANT-04,25.667
Premium Resin A,MAT-1001,2026-03,CUST-052,Iberia Consumer Goods SL,SHIP-052-PT,Iberia Consumer Goods SL - Porto DC,PLANT-05,25.667
Industrial Additive B,MAT-2004,2026-04,CUST-052,Iberia Consumer Goods SL,SHIP-052-PT,Iberia Consumer Goods SL - Porto DC,PLANT-05,25.667
Specialty Compound C,MAT-3098,2026-05,CUST-052,Iberia Consumer Goods SL,SHIP-052-PT,Iberia Consumer Goods SL - Porto DC,PLANT-05,25.667
Packaging Film D,MAT-4120,2026-06,CUST-052,Iberia Consumer Goods SL,SHIP-052-PT,Iberia Consumer Goods SL - Porto DC,PLANT-05,25.667
Base Polymer E,MAT-5185,2026-07,CUST-052,Iberia Consumer Goods SL,SHIP-052-PT,Iberia Consumer Goods SL - Porto DC,PLANT-05,25.667
Premium Resin A,MAT-1001,2026-08,CUST-073,Nordic Materials AB,SHIP-073-DK,Nordic Materials AB - Aarhus Hub,PLANT-06,25.667
Industrial Additive B,MAT-2004,2026-09,CUST-073,Nordic Materials AB,SHIP-073-DK,Nordic Materials AB - Aarhus Hub,PLANT-06,25.667
Specialty Compound C,MAT-3098,2026-10,CUST-073,Nordic Materials AB,SHIP-073-DK,Nordic Materials AB - Aarhus Hub,PLANT-06,25.667
Packaging Film D,MAT-4120,2026-11,CUST-073,Nordic Materials AB,SHIP-073-DK,Nordic Materials AB - Aarhus Hub,PLANT-06,25.667
Base Polymer E,MAT-5185,2026-12,CUST-073,Nordic Materials AB,SHIP-073-DK,Nordic Materials AB - Aarhus Hub,PLANT-06,25.667
Premium Resin A,MAT-1001,2026-01,CUST-001,Northstar Manufacturing BV,SHIP-001-NL,Northstar Manufacturing BV - Rotterdam Plant,PLANT-01,25.667
Industrial Additive B,MAT-2004,2026-02,CUST-001,Northstar Manufacturing BV,SHIP-001-NL,Northstar Manufacturing BV - Rotterdam Plant,PLANT-01,25.667
Specialty Compound C,MAT-3098,2026-03,CUST-001,Northstar Manufacturing BV,SHIP-001-NL,Northstar Manufacturing BV - Rotterdam Plant,PLANT-01,25.667
Packaging Film D,MAT-4120,2026-04,CUST-001,Northstar Manufacturing BV,SHIP-001-NL,Northstar Manufacturing BV - Rotterdam Plant,PLANT-01,25.667
Base Polymer E,MAT-5185,2026-05,CUST-001,Northstar Manufacturing BV,SHIP-001-NL,Northstar Manufacturing BV - Rotterdam Plant,PLANT-01,25.667
Premium Resin A,MAT-1001,2026-06,CUST-014,HelioPack GmbH,SHIP-014-DE,HelioPack GmbH - Hamburg Site,PLANT-02,25.667
Industrial Additive B,MAT-2004,2026-07,CUST-014,HelioPack GmbH,SHIP-014-DE,HelioPack GmbH - Hamburg Site,PLANT-02,25.667
Specialty Compound C,MAT-3098,2026-08,CUST-014,HelioPack GmbH,SHIP-014-DE,HelioPack GmbH - Hamburg Site,PLANT-02,25.667
Packaging Film D,MAT-4120,2026-09,CUST-014,HelioPack GmbH,SHIP-014-DE,HelioPack GmbH - Hamburg Site,PLANT-02,25.667
Base Polymer E,MAT-5185,2026-10,CUST-014,HelioPack GmbH,SHIP-014-DE,HelioPack GmbH - Hamburg Site,PLANT-02,25.667
Premium Resin A,MAT-1001,2026-11,CUST-027,Atlas Components SA,SHIP-027-FR,Atlas Components SA - Lyon Warehouse,PLANT-03,25.667
Industrial Additive B,MAT-2004,2026-12,CUST-027,Atlas Components SA,SHIP-027-FR,Atlas Components SA - Lyon Warehouse,PLANT-03,25.667
Specialty Compound C,MAT-3098,2026-01,CUST-027,Atlas Components SA,SHIP-027-FR,Atlas Components SA - Lyon Warehouse,PLANT-03,25.667
Packaging Film D,MAT-4120,2026-02,CUST-027,Atlas Components SA,SHIP-027-FR,Atlas Components SA - Lyon Warehouse,PLANT-03,25.667
Base Polymer E,MAT-5185,2026-03,CUST-027,Atlas Components SA,SHIP-027-FR,Atlas Components SA - Lyon Warehouse,PLANT-03,25.667
Premium Resin A,MAT-1001,2026-04,CUST-038,Baltic Industrial Group,SHIP-038-LT,Baltic Industrial Group - Kaunas Plant,PLANT-04,25.667
Industrial Additive B,MAT-2004,2026-05,CUST-038,Baltic Industrial Group,SHIP-038-LT,Baltic Industrial Group - Kaunas Plant,PLANT-04,25.667
Specialty Compound C,MAT-3098,2026-06,CUST-038,Baltic Industrial Group,SHIP-038-LT,Baltic Industrial Group - Kaunas Plant,PLANT-04,25.667
Packaging Film D,MAT-4120,2026-07,CUST-038,Baltic Industrial Group,SHIP-038-LT,Baltic Industrial Group - Kaunas Plant,PLANT-04,25.667
Base Polymer E,MAT-5185,2026-08,CUST-038,Baltic Industrial Group,SHIP-038-LT,Baltic Industrial Group - Kaunas Plant,PLANT-04,25.667
Premium Resin A,MAT-1001,2026-09,CUST-052,Iberia Consumer Goods SL,SHIP-052-ES,Iberia Consumer Goods SL - Valencia Site,PLANT-05,25.667
Industrial Additive B,MAT-2004,2026-10,CUST-052,Iberia Consumer Goods SL,SHIP-052-ES,Iberia Consumer Goods SL - Valencia Site,PLANT-05,25.667
Specialty Compound C,MAT-3098,2026-11,CUST-052,Iberia Consumer Goods SL,SHIP-052-ES,Iberia Consumer Goods SL - Valencia Site,PLANT-05,25.667
Packaging Film D,MAT-4120,2026-12,CUST-052,Iberia Consumer Goods SL,SHIP-052-ES,Iberia Consumer Goods SL - Valencia Site,PLANT-05,25.667
Base Polymer E,MAT-5185,2026-01,CUST-052,Iberia Consumer Goods SL,SHIP-052-ES,Iberia Consumer Goods SL - Valencia Site,PLANT-05,25.667
Premium Resin A,MAT-1001,2026-02,CUST-073,Nordic Materials AB,SHIP-073-SE,Nordic Materials AB - Malmo Plant,PLANT-06,25.667
Industrial Additive B,MAT-2004,2026-03,CUST-073,Nordic Materials AB,SHIP-073-SE,Nordic Materials AB - Malmo Plant,PLANT-06,25.667
Specialty Compound C,MAT-3098,2026-04,CUST-073,Nordic Materials AB,SHIP-073-SE,Nordic Materials AB - Malmo Plant,PLANT-06,25.667
Packaging Film D,MAT-4120,2026-05,CUST-073,Nordic Materials AB,SHIP-073-SE,Nordic Materials AB - Malmo Plant,PLANT-06,25.667
Base Polymer E,MAT-5185,2026-06,CUST-073,Nordic Materials AB,SHIP-073-SE,Nordic Materials AB - Malmo Plant,PLANT-06,25.667
Premium Resin A,MAT-1001,2026-07,CUST-001,Northstar Manufacturing BV,SHIP-001-BE,Northstar Manufacturing BV - Antwerp DC,PLANT-01,25.667
Industrial Additive B,MAT-2004,2026-08,CUST-001,Northstar Manufacturing BV,SHIP-001-BE,Northstar Manufacturing BV - Antwerp DC,PLANT-01,25.667
Specialty Compound C,MAT-3098,2026-09,CUST-001,Northstar Manufacturing BV,SHIP-001-BE,Northstar Manufacturing BV - Antwerp DC,PLANT-01,25.667
Packaging Film D,MAT-4120,2026-10,CUST-001,Northstar Manufacturing BV,SHIP-001-BE,Northstar Manufacturing BV - Antwerp DC,PLANT-01,25.667
Base Polymer E,MAT-5185,2026-11,CUST-001,Northstar Manufacturing BV,SHIP-001-BE,Northstar Manufacturing BV - Antwerp DC,PLANT-01,25.667
Premium Resin A,MAT-1001,2026-12,CUST-014,HelioPack GmbH,SHIP-014-PL,HelioPack GmbH - Poznan Warehouse,PLANT-02,25.667
Industrial Additive B,MAT-2004,2026-01,CUST-014,HelioPack GmbH,SHIP-014-PL,HelioPack GmbH - Poznan Warehouse,PLANT-02,25.667
Specialty Compound C,MAT-3098,2026-02,CUST-014,HelioPack GmbH,SHIP-014-PL,HelioPack GmbH - Poznan Warehouse,PLANT-02,25.667
Packaging Film D,MAT-4120,2026-03,CUST-014,HelioPack GmbH,SHIP-014-PL,HelioPack GmbH - Poznan Warehouse,PLANT-02,25.667
Base Polymer E,MAT-5185,2026-04,CUST-014,HelioPack GmbH,SHIP-014-PL,HelioPack GmbH - Poznan Warehouse,PLANT-02,25.667
Premium Resin A,MAT-1001,2026-05,CUST-027,Atlas Components SA,SHIP-027-BE,Atlas Components SA - Antwerp DC,PLANT-03,25.667
Industrial Additive B,MAT-2004,2026-06,CUST-027,Atlas Components SA,SHIP-027-BE,Atlas Components SA - Antwerp DC,PLANT-03,25.667
Specialty Compound C,MAT-3098,2026-07,CUST-027,Atlas Components SA,SHIP-027-BE,Atlas Components SA - Antwerp DC,PLANT-03,25.667
Packaging Film D,MAT-4120,2026-08,CUST-027,Atlas Components SA,SHIP-027-BE,Atlas Components SA - Antwerp DC,PLANT-03,25.667
Base Polymer E,MAT-5185,2026-09,CUST-027,Atlas Components SA,SHIP-027-BE,Atlas Components SA - Antwerp DC,PLANT-03,25.667
Premium Resin A,MAT-1001,2026-10,CUST-038,Baltic Industrial Group,SHIP-038-EE,Baltic Industrial Group - Tallinn Hub,PLANT-04,25.667
Industrial Additive B,MAT-2004,2026-11,CUST-038,Baltic Industrial Group,SHIP-038-EE,Baltic Industrial Group - Tallinn Hub,PLANT-04,25.667
Specialty Compound C,MAT-3098,2026-12,CUST-038,Baltic Industrial Group,SHIP-038-EE,Baltic Industrial Group - Tallinn Hub,PLANT-04,25.667
Packaging Film D,MAT-4120,2026-01,CUST-038,Baltic Industrial Group,SHIP-038-EE,Baltic Industrial Group - Tallinn Hub,PLANT-04,25.667
Base Polymer E,MAT-5185,2026-02,CUST-038,Baltic Industrial Group,SHIP-038-EE,Baltic Industrial Group - Tallinn Hub,PLANT-04,25.667
Premium Resin A,MAT-1001,2026-03,CUST-052,Iberia Consumer Goods SL,SHIP-052-PT,Iberia Consumer Goods SL - Porto DC,PLANT-05,25.667
Industrial Additive B,MAT-2004,2026-04,CUST-052,Iberia Consumer Goods SL,SHIP-052-PT,Iberia Consumer Goods SL - Porto DC,PLANT-05,25.667
Specialty Compound C,MAT-3098,2026-05,CUST-052,Iberia Consumer Goods SL,SHIP-052-PT,Iberia Consumer Goods SL - Porto DC,PLANT-05,25.667
Packaging Film D,MAT-4120,2026-06,CUST-052,Iberia Consumer Goods SL,SHIP-052-PT,Iberia Consumer Goods SL - Porto DC,PLANT-05,25.667
Base Polymer E,MAT-5185,2026-07,CUST-052,Iberia Consumer Goods SL,SHIP-052-PT,Iberia Consumer Goods SL - Porto DC,PLANT-05,25.667
Premium Resin A,MAT-1001,2026-08,CUST-073,Nordic Materials AB,SHIP-073-DK,Nordic Materials AB - Aarhus Hub,PLANT-06,25.667
Industrial Additive B,MAT-2004,2026-09,CUST-073,Nordic Materials AB,SHIP-073-DK,Nordic Materials AB - Aarhus Hub,PLANT-06,25.667
Specialty Compound C,MAT-3098,2026-10,CUST-073,Nordic Materials AB,SHIP-073-DK,Nordic Materials AB - Aarhus Hub,PLANT-06,25.667
Packaging Film D,MAT-4120,2026-11,CUST-073,Nordic Materials AB,SHIP-073-DK,Nordic Materials AB - Aarhus Hub,PLANT-06,25.667
Base Polymer E,MAT-5185,2026-12,CUST-073,Nordic Materials AB,SHIP-073-DK,Nordic Materials AB - Aarhus Hub,PLANT-06,25.667
Premium Resin A,MAT-1001,2026-01,CUST-001,Northstar Manufacturing BV,SHIP-001-NL,Northstar Manufacturing BV - Rotterdam Plant,PLANT-01,25.667
Industrial Additive B,MAT-2004,2026-02,CUST-001,Northstar Manufacturing BV,SHIP-001-NL,Northstar Manufacturing BV - Rotterdam Plant,PLANT-01,25.667
Specialty Compound C,MAT-3098,2026-03,CUST-001,Northstar Manufacturing BV,SHIP-001-NL,Northstar Manufacturing BV - Rotterdam Plant,PLANT-01,25.667
Packaging Film D,MAT-4120,2026-04,CUST-001,Northstar Manufacturing BV,SHIP-001-NL,Northstar Manufacturing BV - Rotterdam Plant,PLANT-01,25.667
Base Polymer E,MAT-5185,2026-05,CUST-001,Northstar Manufacturing BV,SHIP-001-NL,Northstar Manufacturing BV - Rotterdam Plant,PLANT-01,25.667
Premium Resin A,MAT-1001,2026-06,CUST-014,HelioPack GmbH,SHIP-014-DE,HelioPack GmbH - Hamburg Site,PLANT-02,25.667
Industrial Additive B,MAT-2004,2026-07,CUST-014,HelioPack GmbH,SHIP-014-DE,HelioPack GmbH - Hamburg Site,PLANT-02,25.667
Specialty Compound C,MAT-3098,2026-08,CUST-014,HelioPack GmbH,SHIP-014-DE,HelioPack GmbH - Hamburg Site,PLANT-02,25.667
Packaging Film D,MAT-4120,2026-09,CUST-014,HelioPack GmbH,SHIP-014-DE,HelioPack GmbH - Hamburg Site,PLANT-02,25.667
Base Polymer E,MAT-5185,2026-10,CUST-014,HelioPack GmbH,SHIP-014-DE,HelioPack GmbH - Hamburg Site,PLANT-02,25.667
Premium Resin A,MAT-1001,2026-11,CUST-027,Atlas Components SA,SHIP-027-FR,Atlas Components SA - Lyon Warehouse,PLANT-03,25.667
Industrial Additive B,MAT-2004,2026-12,CUST-027,Atlas Components SA,SHIP-027-FR,Atlas Components SA - Lyon Warehouse,PLANT-03,25.667
Specialty Compound C,MAT-3098,2026-01,CUST-027,Atlas Components SA,SHIP-027-FR,Atlas Components SA - Lyon Warehouse,PLANT-03,25.667
Packaging Film D,MAT-4120,2026-02,CUST-027,Atlas Components SA,SHIP-027-FR,Atlas Components SA - Lyon Warehouse,PLANT-03,25.667
Base Polymer E,MAT-5185,2026-03,CUST-027,Atlas Components SA,SHIP-027-FR,Atlas Components SA - Lyon Warehouse,PLANT-03,25.667
Premium Resin A,MAT-1001,2026-04,CUST-038,Baltic Industrial Group,SHIP-038-LT,Baltic Industrial Group - Kaunas Plant,PLANT-04,25.667
Industrial Additive B,MAT-2004,2026-05,CUST-038,Baltic Industrial Group,SHIP-038-LT,Baltic Industrial Group - Kaunas Plant,PLANT-04,25.667
Specialty Compound C,MAT-3098,2026-06,CUST-038,Baltic Industrial Group,SHIP-038-LT,Baltic Industrial Group - Kaunas Plant,PLANT-04,25.667
Packaging Film D,MAT-4120,2026-07,CUST-038,Baltic Industrial Group,SHIP-038-LT,Baltic Industrial Group - Kaunas Plant,PLANT-04,25.667
Base Polymer E,MAT-5185,2026-08,CUST-038,Baltic Industrial Group,SHIP-038-LT,Baltic Industrial Group - Kaunas Plant,PLANT-04,25.667
Premium Resin A,MAT-1001,2026-09,CUST-052,Iberia Consumer Goods SL,SHIP-052-ES,Iberia Consumer Goods SL - Valencia Site,PLANT-05,25.667
Industrial Additive B,MAT-2004,2026-10,CUST-052,Iberia Consumer Goods SL,SHIP-052-ES,Iberia Consumer Goods SL - Valencia Site,PLANT-05,25.667
Specialty Compound C,MAT-3098,2026-11,CUST-052,Iberia Consumer Goods SL,SHIP-052-ES,Iberia Consumer Goods SL - Valencia Site,PLANT-05,25.667
Packaging Film D,MAT-4120,2026-12,CUST-052,Iberia Consumer Goods SL,SHIP-052-ES,Iberia Consumer Goods SL - Valencia Site,PLANT-05,25.667
Base Polymer E,MAT-5185,2026-01,CUST-052,Iberia Consumer Goods SL,SHIP-052-ES,Iberia Consumer Goods SL - Valencia Site,PLANT-05,25.667
Premium Resin A,MAT-1001,2026-02,CUST-073,Nordic Materials AB,SHIP-073-SE,Nordic Materials AB - Malmo Plant,PLANT-06,25.667
Industrial Additive B,MAT-2004,2026-03,CUST-073,Nordic Materials AB,SHIP-073-SE,Nordic Materials AB - Malmo Plant,PLANT-06,25.667
Specialty Compound C,MAT-3098,2026-04,CUST-073,Nordic Materials AB,SHIP-073-SE,Nordic Materials AB - Malmo Plant,PLANT-06,25.667
Packaging Film D,MAT-4120,2026-05,CUST-073,Nordic Materials AB,SHIP-073-SE,Nordic Materials AB - Malmo Plant,PLANT-06,25.667
Base Polymer E,MAT-5185,2026-06,CUST-073,Nordic Materials AB,SHIP-073-SE,Nordic Materials AB - Malmo Plant,PLANT-06,25.667
Premium Resin A,MAT-1001,2026-07,CUST-001,Northstar Manufacturing BV,SHIP-001-BE,Northstar Manufacturing BV - Antwerp DC,PLANT-01,25.667
Industrial Additive B,MAT-2004,2026-08,CUST-001,Northstar Manufacturing BV,SHIP-001-BE,Northstar Manufacturing BV - Antwerp DC,PLANT-01,25.667
Specialty Compound C,MAT-3098,2026-09,CUST-001,Northstar Manufacturing BV,SHIP-001-BE,Northstar Manufacturing BV - Antwerp DC,PLANT-01,25.667
Packaging Film D,MAT-4120,2026-10,CUST-001,Northstar Manufacturing BV,SHIP-001-BE,Northstar Manufacturing BV - Antwerp DC,PLANT-01,25.667
Base Polymer E,MAT-5185,2026-11,CUST-001,Northstar Manufacturing BV,SHIP-001-BE,Northstar Manufacturing BV - Antwerp DC,PLANT-01,25.667
Premium Resin A,MAT-1001,2026-12,CUST-014,HelioPack GmbH,SHIP-014-PL,HelioPack GmbH - Poznan Warehouse,PLANT-02,25.667
Industrial Additive B,MAT-2004,2026-01,CUST-014,HelioPack GmbH,SHIP-014-PL,HelioPack GmbH - Poznan Warehouse,PLANT-02,25.667
Specialty Compound C,MAT-3098,2026-02,CUST-014,HelioPack GmbH,SHIP-014-PL,HelioPack GmbH - Poznan Warehouse,PLANT-02,25.667
Packaging Film D,MAT-4120,2026-03,CUST-014,HelioPack GmbH,SHIP-014-PL,HelioPack GmbH - Poznan Warehouse,PLANT-02,25.667
Base Polymer E,MAT-5185,2026-04,CUST-014,HelioPack GmbH,SHIP-014-PL,HelioPack GmbH - Poznan Warehouse,PLANT-02,25.667
Premium Resin A,MAT-1001,2026-05,CUST-027,Atlas Components SA,SHIP-027-BE,Atlas Components SA - Antwerp DC,PLANT-03,25.667
Industrial Additive B,MAT-2004,2026-06,CUST-027,Atlas Components SA,SHIP-027-BE,Atlas Components SA - Antwerp DC,PLANT-03,25.667
Specialty Compound C,MAT-3098,2026-07,CUST-027,Atlas Components SA,SHIP-027-BE,Atlas Components SA - Antwerp DC,PLANT-03,25.667
Packaging Film D,MAT-4120,2026-08,CUST-027,Atlas Components SA,SHIP-027-BE,Atlas Components SA - Antwerp DC,PLANT-03,25.667
Base Polymer E,MAT-5185,2026-09,CUST-027,Atlas Components SA,SHIP-027-BE,Atlas Components SA - Antwerp DC,PLANT-03,25.667
Premium Resin A,MAT-1001,2026-10,CUST-038,Baltic Industrial Group,SHIP-038-EE,Baltic Industrial Group - Tallinn Hub,PLANT-04,25.667
Industrial Additive B,MAT-2004,2026-11,CUST-038,Baltic Industrial Group,SHIP-038-EE,Baltic Industrial Group - Tallinn Hub,PLANT-04,25.667
Specialty Compound C,MAT-3098,2026-12,CUST-038,Baltic Industrial Group,SHIP-038-EE,Baltic Industrial Group - Tallinn Hub,PLANT-04,25.667
Packaging Film D,MAT-4120,2026-01,CUST-038,Baltic Industrial Group,SHIP-038-EE,Baltic Industrial Group - Tallinn Hub,PLANT-04,25.667
Base Polymer E,MAT-5185,2026-02,CUST-038,Baltic Industrial Group,SHIP-038-EE,Baltic Industrial Group - Tallinn Hub,PLANT-04,25.667
Premium Resin A,MAT-1001,2026-03,CUST-052,Iberia Consumer Goods SL,SHIP-052-PT,Iberia Consumer Goods SL - Porto DC,PLANT-05,25.667
Industrial Additive B,MAT-2004,2026-04,CUST-052,Iberia Consumer Goods SL,SHIP-052-PT,Iberia Consumer Goods SL - Porto DC,PLANT-05,25.667
Specialty Compound C,MAT-3098,2026-05,CUST-052,Iberia Consumer Goods SL,SHIP-052-PT,Iberia Consumer Goods SL - Porto DC,PLANT-05,25.667
